File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Shaders\Shader.h,38,30,21,0,8,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Sprites\Sprite.cpp,15,10,5,0,5,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Sprites\Sprite.h,15,11,7,0,4,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Textures\Image.cpp,230,180,106,50,48,0,2,5,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Textures\Texture_GL.cpp,133,83,48,4,49,3,1,24,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Textures\Image.h,57,43,34,0,12,3,2,10,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Textures\ITexture.h,75,52,29,10,23,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Textures\TextureHelper.h,15,7,4,0,8,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Textures\Texture_GL.h,67,48,39,0,19,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Vertex\Vertex3D.cpp,44,31,14,4,13,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Graphics\Vertex\Vertex3D.h,37,25,18,0,12,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Mat4f.cpp,278,220,108,20,58,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Vec2f.cpp,139,105,70,27,34,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Vec3f.cpp,161,125,84,27,36,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Vec4f.cpp,93,71,54,15,22,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Mat4f.h,38,26,22,0,12,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Maths.h,9,7,0,0,2,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Math_Funcs.h,62,44,25,8,13,0,5,20,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Vec2f.h,46,33,30,0,13,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Vec3f.h,47,35,32,0,12,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Maths\Vec4f.h,34,24,22,0,10,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\System\GraphicsDriver.h,17,13,4,0,4,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\ImageUtils.cpp,599,474,322,102,125,2,0,2,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\File_Utils.h,23,18,14,1,5,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\ImageUtils.h,50,41,36,0,8,0,1,2,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\MemoryUtils.h,34,26,21,2,8,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\Timer.h,60,49,29,2,11,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\Loaders\ObjLoader.cpp,59,55,42,8,4,0,0,0,0,0
C:\Users\MARCEL-MSI\Dropbox\Hobby\Programmeren\DerpyEngine-Core\DerpyEngine\Source\Utils\Loaders\ObjLoader.h,29,18,11,0,11,0,0,0,0,0
